DishId,DishName,Price,ImageUrl,Description
1,Crispy Salt and Pepper Potatoes,37,crispy-salt-and-pepper-potatoes-dan-kluger.jpg,"This dish contains: egg, parsley, pepper, potato, rosemary, salt, tea, thyme."
2,Thanksgiving Mac and Cheese,49,thanksgiving-mac-and-cheese-erick-williams.jpg,"This dish contains: cheese, cream, garlic, macaroni, milk, onion, paprika, pepper, powder, salt."
3,Newton's Law,24,newtons-law-apple-bourbon-cocktail.jpg,"This dish contains: apple, butter, cinnamon, lemon, orange, sugar, tea, water."
4,Apples and Oranges,47,apples-and-oranges-spiked-cider.jpg,"This dish contains: apple, butter, lemon, pepper, salt, tea."
5,Instant Pot Lamb Haleem,5,instant-pot-lamb-haleem.jpg,"This dish contains: cilantro, clove, garlic, ginger, lime, oil, onion, pepper, rice, salt, shallot."
6,Hot Pimento Cheese Dip,27,hot-pimento-cheese-dip-polina-chesnakova.jpg,"This dish contains: cheese, clove, corn, cream, garlic, milk, pepper, salt."
7,Spiral Ham in the Slow Cooker,25,spiral-ham-in-the-slow-cooker-guarnaschelli.jpg,"This dish contains: apple, carrot, mustard, salt, sugar, vinegar."
8,Butternut Squash and Apple Soup,17,butternut-squash-apple-soup-365210.jpg,"This dish contains: apple, butter, carrot, chicken, cinnamon, cream, onion, potato, tea, water."
9,Caesar Salad Roast Chicken,14,caesar-salad-roast-chicken.jpg,"This dish contains: bread, chicken, clove, garlic, lemon, mustard, oil, pepper, salt, shallot."
10,Gorditas con Camarones,47,gorditas-con-camarones.jpg,"This dish contains: apple, avocado, butter, clove, corn, flour, garlic, honey, lime, oil, onion, salt, thyme, vinegar."
11,Enfrijoladas,9,enfrijoladas.jpg,"This dish contains: avocado, bean, cheese, chicken, clove, corn, garlic, oil, onion, salt."
12,Caramelized Plantain Parfait,25,caramelized-plantain-parfait.jpg,"This dish contains: milk, oil, salt, yogurt."
13,Chhena Poda (Spiced Cheesecake),34,chhena-poda-paneer-cheesecake.jpg,"This dish contains: almond, cream, milk, raisin, sugar, tea."
14,Paneer,40,homemade-paneer-recipe.jpg,"This dish contains: lemon, milk, salt, tea."
15,Miso-Squash Ramen,2,miso-squash-ramen-hetty-mckinnon.jpg,"This dish contains: butter, cilantro, clove, garlic, ginger, oil, pepper, salt, soy, sugar."
16,Spicy Coconut Pumpkin Soup,40,spicy-coconut-pumpkin-soup.jpg,"This dish contains: chicken, cilantro, clove, garlic, milk, oil, onion, pepper, pumpkin, sugar, tea."
17,Baigan Chokha,7,baigan-chokha-trinidadian-broiled-grilled-mashed-eggplant.jpg,"This dish contains: cilantro, clove, egg, garlic, oil, onion, pepper, salt, tea, tomato."
18,Shrimp Creole,6,shrimp-creole-14653.jpg,"This dish contains: butter, chicken, clove, garlic, oil, onion, pepper, rice, salt, tea, tomato."
19,Green Seasoning,36,trinidadian-green-seasoning.jpg,"This dish contains: cilantro, clove, garlic, parsley, thyme."
