DishId,DishName,Price,ImageUrl,Description
1,Crispy Salt and Pepper Potatoes,7,crispy-salt-and-pepper-potatoes-dan-kluger.jpg,"This dish contains: egg, parsley, pepper, potato, rosemary, salt, tea, thyme."
2,Thanksgiving Mac and Cheese,26,thanksgiving-mac-and-cheese-erick-williams.jpg,"This dish contains: cheese, cream, garlic, macaroni, milk, onion, paprika, pepper, powder, salt."
3,Newton's Law,1,newtons-law-apple-bourbon-cocktail.jpg,"This dish contains: apple, butter, cinnamon, lemon, orange, sugar, tea, water."
4,Apples and Oranges,42,apples-and-oranges-spiked-cider.jpg,"This dish contains: apple, butter, lemon, pepper, salt, tea."
5,Instant Pot Lamb Haleem,22,instant-pot-lamb-haleem.jpg,"This dish contains: cilantro, clove, garlic, ginger, lime, oil, onion, pepper, rice, salt, shallot."
6,Hot Pimento Cheese Dip,33,hot-pimento-cheese-dip-polina-chesnakova.jpg,"This dish contains: cheese, clove, corn, cream, garlic, milk, pepper, salt."
7,Spiral Ham in the Slow Cooker,2,spiral-ham-in-the-slow-cooker-guarnaschelli.jpg,"This dish contains: apple, carrot, mustard, salt, sugar, vinegar."
8,Butternut Squash and Apple Soup,15,butternut-squash-apple-soup-365210.jpg,"This dish contains: apple, butter, carrot, chicken, cinnamon, cream, onion, potato, tea, water."
9,Caesar Salad Roast Chicken,28,caesar-salad-roast-chicken.jpg,"This dish contains: bread, chicken, clove, garlic, lemon, mustard, oil, pepper, salt, shallot."
10,Gorditas con Camarones,49,gorditas-con-camarones.jpg,"This dish contains: apple, avocado, butter, clove, corn, flour, garlic, honey, lime, oil, onion, salt, thyme, vinegar."
11,Enfrijoladas,40,enfrijoladas.jpg,"This dish contains: avocado, bean, cheese, chicken, clove, corn, garlic, oil, onion, salt."
12,Caramelized Plantain Parfait,11,caramelized-plantain-parfait.jpg,"This dish contains: milk, oil, salt, yogurt."
13,Chhena Poda (Spiced Cheesecake),42,chhena-poda-paneer-cheesecake.jpg,"This dish contains: almond, cream, milk, raisin, sugar, tea."
14,Paneer,1,homemade-paneer-recipe.jpg,"This dish contains: lemon, milk, salt, tea."
15,Miso-Squash Ramen,22,miso-squash-ramen-hetty-mckinnon.jpg,"This dish contains: butter, cilantro, clove, garlic, ginger, oil, pepper, salt, soy, sugar."
16,Spicy Coconut Pumpkin Soup,42,spicy-coconut-pumpkin-soup.jpg,"This dish contains: chicken, cilantro, clove, garlic, milk, oil, onion, pepper, pumpkin, sugar, tea."
17,Baigan Chokha,42,baigan-chokha-trinidadian-broiled-grilled-mashed-eggplant.jpg,"This dish contains: cilantro, clove, egg, garlic, oil, onion, pepper, salt, tea, tomato."
18,Shrimp Creole,20,shrimp-creole-14653.jpg,"This dish contains: butter, chicken, clove, garlic, oil, onion, pepper, rice, salt, tea, tomato."
19,Green Seasoning,32,trinidadian-green-seasoning.jpg,"This dish contains: cilantro, clove, garlic, parsley, thyme."
20,Chicken Pelau,32,pelau-234498.jpg,"This dish contains: bean, butter, carrot, chicken, clove, garlic, milk, oil, onion, parsley, pepper, rice, salt, sugar, tea, thyme."
21,Buss Up Shut (Paratha Roti),8,buss-up-shut-paratha-roti-ramin-ganeshram.jpg,"This dish contains: butter, flour, milk, oil, powder, sugar."
22,Best Deviled Eggs,4,deviled-eggs-106562.jpg,"This dish contains: egg, mustard, paprika, tea."
23,Mango Curry,24,mango-curry-joe-thottungal.jpg,"This dish contains: clove, garlic, ginger, milk, mustard, oil, salt, shallot, vinegar."
24,Old-Fashioned Scalloped Potatoes,21,old-fashioned-scalloped-potatoes-10270.jpg,"This dish contains: bread, butter, flour, milk, onion, potato."
25,Yogurt and Spice Roasted Salmon,40,easy-yogurt-and-spice-roasted-salmon-sabrina-ghayour.jpg,"This dish contains: garlic, lime, oil, onion, paprika, pepper, salt, tea, tomato, yogurt."
26,Pita,24,fresh-homemade-pita-alon-shaya.jpg,"This dish contains: bread, flour, oil, salt, tea, water."
27,Veselka's Famous Borscht,18,veselkas-famous-borscht.jpg,"This dish contains: bean, beef, carrot, chicken, pepper, pork, potato, tea, vinegar."
28,Tomato Brown Butter,49,tomato-brown-butter-cortney-burns.jpg,"This dish contains: butter, pepper, salt, tomato."
29,Maple-Roasted Acorn Squash,3,maple-roasted-acorn-squash-ina-garten.jpg,"This dish contains: butter, oil, pepper, salt."
30,Coconut-Creamed Corn and Grains,26,coconut-creamed-corn-and-grains.jpg,"This dish contains: clove, corn, garlic, ginger, milk, oil, onion, salt, shallot."
31,Tomato and Roasted Garlic Pie,9,tomato-and-roasted-garlic-pie.jpg,"This dish contains: butter, cheese, clove, egg, garlic, oil, pepper, salt, shallot, tea, thyme, tomato."
32,Sesame-Scallion Chicken Salad,3,sesame-scallion-chicken-salad.jpg,"This dish contains: chicken, cilantro, cucumber, honey, lime, pepper, salt, soy."
33,Maple Barbecue Grilled Chicken,46,maple-soy-barbecue-grilled-chicken.jpg,"This dish contains: chicken, clove, garlic, oil, rice, salt, soy, tomato, vinegar."
34,Salt-and-Pepper Fish,38,pan-seared-salt-and-pepper-fish.jpg,"This dish contains: butter, ginger, oil, pepper, rice, salt, sugar, vinegar."
35,Fish Tacos al Pastor,45,fish-tacos-al-pastor.jpg,"This dish contains: cilantro, clove, corn, garlic, lime, oil, onion, orange, salt."
36,Nut Butter Granola Bars,9,nut-butter-granola-bars.jpg,"This dish contains: almond, butter, currant, egg, hazelnut, honey, oil, pecan, pistachio, pumpkin, raisin, salt, vanilla, walnut."
37,Tropi-Cobb Salad,47,chicken-mango-cobb-salad.jpg,"This dish contains: avocado, chicken, clove, garlic, lime, oil, onion, pepper, salt, tomato."
